Left,Satisfaction Level,Work Accident,Average Monthly Hours,Last Evaluation,Years in the Company,salary,Department,Number of Projects,Promoted in the last 5 years?,Date Hired
Yes,0.87,Yes,258,1,5,medium,sales,4,Yes,2015-04-08T00:00:00Z
Yes,0.36,Yes,137,0.52,3,medium,sales,2,No,2017-02-11T00:00:00Z
Yes,0.1,Yes,266,0.86,4,low,technical,6,No,2016-08-31T00:00:00Z
Yes,0.79,Yes,229,1,5,medium,management,4,No,2015-04-23T00:00:00Z
Yes,0.34,Yes,157,0.97,5,low,RandD,6,No,2015-12-10T00:00:00Z
Yes,0.1,Yes,244,0.89,4,low,support,6,No,2016-07-11T00:00:00Z
Yes,0.82,Yes,245,0.83,5,low,sales,4,No,2015-10-11T00:00:00Z
Yes,0.39,Yes,152,0.55,3,medium,sales,2,No,2017-02-03T00:00:00Z
Yes,0.42,Yes,141,0.52,3,medium,sales,2,No,2017-09-15T00:00:00Z
Yes,0.57,Yes,219,0.85,2,medium,sales,4,No,2018-09-29T00:00:00Z
Yes,0.43,Yes,127,0.5,3,medium,sales,2,No,2017-12-27T00:00:00Z
Yes,0.38,Yes,151,0.5,3,low,hr,2,No,2017-06-12T00:00:00Z
Yes,0.11,Yes,262,0.96,4,low,technical,6,No,2016-03-16T00:00:00Z
Yes,0.43,Yes,151,0.57,3,low,hr,2,No,2017-08-08T00:00:00Z
Yes,0.09,Yes,260,0.95,4,low,technical,6,No,2016-06-20T00:00:00Z
Yes,0.36,Yes,148,0.48,3,medium,management,2,No,2017-01-14T00:00:00Z
Yes,0.81,Yes,218,0.81,5,low,IT,4,No,2015-01-24T00:00:00Z
Yes,0.76,Yes,254,0.82,5,medium,sales,4,No,2015-07-07T00:00:00Z
Yes,0.89,Yes,130,0.83,4,medium,support,5,No,2016-07-19T00:00:00Z
Yes,0.84,Yes,245,0.89,5,medium,support,4,No,2015-03-12T00:00:00Z
Yes,0.11,Yes,273,0.86,4,low,support,6,No,2016-03-09T00:00:00Z
Yes,0.11,Yes,244,0.79,4,medium,sales,6,No,2016-07-01T00:00:00Z
Yes,0.11,Yes,299,0.86,4,low,sales,6,No,2016-05-05T00:00:00Z
Yes,0.86,Yes,241,0.93,5,low,support,5,No,2015-11-30T00:00:00Z
Yes,0.91,Yes,265,0.99,5,medium,technical,5,No,2015-11-14T00:00:00Z
Yes,0.76,Yes,253,0.99,5,medium,IT,4,No,2015-12-02T00:00:00Z
Yes,0.43,Yes,154,0.52,3,medium,product_mng,2,No,2017-05-28T00:00:00Z
Yes,0.1,Yes,264,0.83,4,medium,sales,6,No,2016-11-15T00:00:00Z
Yes,0.45,Yes,155,0.51,3,medium,sales,2,No,2017-04-04T00:00:00Z
Yes,0.44,Yes,156,0.47,3,medium,sales,2,No,2017-03-12T00:00:00Z
Yes,0.38,Yes,140,0.47,3,low,IT,2,No,2017-08-23T00:00:00Z
Yes,0.42,Yes,148,0.48,3,low,RandD,2,No,2017-03-04T00:00:00Z
Yes,0.39,Yes,148,0.52,3,low,marketing,2,No,2017-05-06T00:00:00Z
Yes,0.4,Yes,130,0.56,3,medium,sales,2,No,2017-10-04T00:00:00Z
Yes,0.73,Yes,256,0.96,6,medium,support,5,No,2014-04-16T00:00:00Z
Yes,0.68,Yes,198,0.62,5,low,RandD,5,No,2015-12-21T00:00:00Z
Yes,0.85,Yes,260,1,3,low,management,6,No,2017-04-01T00:00:00Z
Yes,0.37,Yes,130,0.46,3,medium,technical,2,No,2017-02-09T00:00:00Z
Yes,0.82,Yes,232,0.94,5,medium,IT,5,No,2015-05-23T00:00:00Z
Yes,0.45,Yes,212,0.68,4,low,sales,4,No,2016-09-09T00:00:00Z
Yes,0.42,Yes,132,0.53,3,low,sales,2,No,2017-12-27T00:00:00Z
Yes,0.91,Yes,253,1,5,medium,technical,4,No,2015-02-03T00:00:00Z
Yes,0.88,Yes,255,0.97,5,low,IT,4,No,2015-10-14T00:00:00Z
Yes,0.4,Yes,144,0.47,3,low,sales,2,No,2017-06-03T00:00:00Z
Yes,0.76,Yes,227,0.84,5,medium,sales,5,No,2015-03-20T00:00:00Z
Yes,0.43,Yes,149,0.51,3,medium,accounting,2,No,2017-03-05T00:00:00Z
Yes,0.41,Yes,150,0.46,3,low,hr,2,No,2017-07-03T00:00:00Z
Yes,0.37,Yes,154,0.51,3,low,sales,2,No,2017-07-21T00:00:00Z
Yes,0.85,Yes,246,0.87,5,medium,sales,5,No,2015-06-05T00:00:00Z
Yes,0.1,Yes,285,0.78,4,medium,RandD,5,No,2016-10-10T00:00:00Z
Yes,0.14,Yes,277,0.75,5,medium,sales,4,No,2015-05-21T00:00:00Z
Yes,0.42,Yes,147,0.57,3,low,management,2,No,2017-08-04T00:00:00Z
Yes,0.43,Yes,159,0.57,3,low,technical,2,No,2017-01-05T00:00:00Z
Yes,0.89,Yes,228,0.88,5,low,support,5,No,2015-02-04T00:00:00Z
Yes,0.41,Yes,143,0.47,3,low,technical,2,No,2017-01-19T00:00:00Z
Yes,0.42,Yes,139,0.47,3,medium,IT,2,No,2017-07-10T00:00:00Z
Yes,0.37,Yes,159,0.47,3,medium,product_mng,2,No,2017-05-22T00:00:00Z
No,0.56,Yes,201,0.86,3,medium,technical,4,No,2017-04-28T00:00:00Z
No,0.51,Yes,218,0.8,2,low,support,3,No,2018-01-26T00:00:00Z
No,0.52,Yes,179,0.88,2,low,support,3,No,2018-01-19T00:00:00Z
No,0.52,Yes,176,0.59,3,low,IT,2,No,2017-02-08T00:00:00Z
No,0.41,Yes,165,0.68,3,medium,product_mng,3,No,2017-01-08T00:00:00Z
No,0.63,Yes,237,0.66,2,medium,RandD,4,No,2018-12-04T00:00:00Z
No,0.53,Yes,226,0.81,3,low,sales,3,No,2017-11-19T00:00:00Z
No,0.86,Yes,169,0.99,2,low,sales,3,No,2018-07-10T00:00:00Z
No,0.39,Yes,205,0.78,6,low,sales,2,No,2014-04-11T00:00:00Z
No,0.69,Yes,245,0.57,2,low,sales,5,No,2018-07-11T00:00:00Z
No,0.94,Yes,185,0.83,3,medium,technical,2,No,2017-07-08T00:00:00Z
No,0.59,Yes,155,0.88,3,low,support,4,No,2017-05-30T00:00:00Z
No,0.98,Yes,201,0.92,3,low,support,4,No,2017-02-02T00:00:00Z
No,1,Yes,161,0.92,3,low,support,5,No,2017-05-14T00:00:00Z
No,0.78,Yes,270,0.72,3,low,technical,5,No,2017-07-25T00:00:00Z
No,0.84,Yes,187,0.89,2,low,IT,4,No,2018-01-22T00:00:00Z
No,0.56,Yes,213,0.76,2,medium,product_mng,3,No,2018-07-09T00:00:00Z
No,0.76,Yes,189,0.68,2,medium,IT,4,No,2018-01-13T00:00:00Z
No,0.76,Yes,186,0.83,2,medium,RandD,3,No,2018-02-23T00:00:00Z
No,0.64,Yes,213,0.77,3,medium,RandD,3,No,2017-12-16T00:00:00Z
No,0.71,Yes,172,0.76,2,high,support,5,No,2018-05-16T00:00:00Z
No,0.72,Yes,176,0.63,3,low,technical,3,No,2017-06-15T00:00:00Z
No,0.88,Yes,157,0.68,4,medium,marketing,5,No,2016-08-27T00:00:00Z
No,0.63,Yes,177,0.57,3,low,sales,4,No,2017-08-24T00:00:00Z
No,0.35,Yes,229,0.58,6,medium,technical,3,No,2014-01-28T00:00:00Z
No,0.82,Yes,195,0.73,5,medium,technical,4,No,2015-10-28T00:00:00Z
No,0.99,Yes,180,0.81,3,medium,technical,5,No,2017-03-29T00:00:00Z
No,0.73,Yes,145,0.79,2,low,support,4,No,2018-09-13T00:00:00Z
No,0.78,Yes,233,0.84,3,low,IT,3,No,2017-06-03T00:00:00Z
No,0.84,Yes,266,0.79,3,low,product_mng,4,No,2017-10-17T00:00:00Z
No,0.7,Yes,102,0.69,4,medium,product_mng,3,No,2016-03-13T00:00:00Z
No,0.51,Yes,145,0.69,2,medium,RandD,3,No,2018-01-20T00:00:00Z
No,0.76,Yes,266,0.93,3,low,marketing,3,No,2017-07-31T00:00:00Z
No,0.25,Yes,133,0.41,6,low,sales,3,No,2014-02-08T00:00:00Z
No,0.57,Yes,109,0.78,3,low,sales,3,No,2017-10-04T00:00:00Z
No,0.39,Yes,168,0.36,3,low,sales,3,No,2017-04-24T00:00:00Z
No,0.7,Yes,163,0.61,4,low,sales,4,No,2016-05-10T00:00:00Z
No,0.78,Yes,194,0.8,2,medium,technical,4,No,2018-03-17T00:00:00Z
No,0.53,Yes,239,0.75,2,medium,technical,4,No,2018-07-31T00:00:00Z
No,0.99,Yes,176,0.57,4,medium,support,3,No,2016-01-05T00:00:00Z
No,0.77,Yes,153,0.99,3,medium,support,4,No,2017-10-21T00:00:00Z
No,0.75,Yes,150,0.68,2,medium,support,3,No,2018-07-31T00:00:00Z
No,0.78,Yes,151,0.99,3,low,product_mng,3,No,2017-04-23T00:00:00Z
No,0.96,Yes,232,0.45,2,low,product_mng,6,No,2018-07-23T00:00:00Z
No,0.18,Yes,187,0.94,6,low,product_mng,3,No,2014-11-18T00:00:00Z
No,0.47,Yes,101,0.9,2,medium,marketing,3,No,2018-10-09T00:00:00Z
No,0.99,Yes,139,0.75,5,medium,technical,6,No,2015-04-13T00:00:00Z
No,0.8,Yes,232,0.98,6,low,sales,2,No,2014-02-27T00:00:00Z
No,0.98,Yes,134,0.77,2,low,sales,3,No,2018-11-30T00:00:00Z
No,0.78,Yes,168,0.76,4,low,sales,5,No,2016-04-18T00:00:00Z
No,1,Yes,202,0.65,4,low,hr,4,No,2016-08-14T00:00:00Z
No,0.97,Yes,182,0.77,2,low,support,3,No,2018-09-05T00:00:00Z
No,0.82,Yes,115,0.97,2,low,support,3,No,2018-03-02T00:00:00Z
No,0.83,Yes,167,0.52,2,low,IT,3,No,2018-03-23T00:00:00Z
No,0.81,Yes,263,0.85,3,low,IT,3,No,2017-11-27T00:00:00Z
No,0.37,Yes,153,0.63,3,medium,sales,4,No,2017-03-10T00:00:00Z
No,0.71,Yes,163,0.74,3,medium,marketing,3,No,2017-01-18T00:00:00Z
No,0.38,Yes,99,0.69,3,high,sales,3,No,2017-02-18T00:00:00Z
No,0.22,Yes,205,0.6,6,low,sales,3,No,2014-04-27T00:00:00Z
No,0.15,Yes,205,0.53,5,low,sales,4,No,2015-10-22T00:00:00Z
No,0.15,Yes,151,0.8,2,low,sales,5,No,2018-11-11T00:00:00Z
No,0.84,Yes,141,0.51,2,low,sales,6,No,2018-04-03T00:00:00Z
No,0.93,Yes,160,0.63,4,low,sales,3,No,2016-03-30T00:00:00Z
No,0.87,Yes,246,0.65,2,low,sales,4,No,2018-08-03T00:00:00Z
No,0.19,Yes,226,0.98,4,low,accounting,5,No,2016-12-03T00:00:00Z
No,0.33,Yes,212,0.4,2,low,accounting,4,No,2018-01-03T00:00:00Z
No,0.7,Yes,263,0.74,3,low,hr,5,No,2017-06-01T00:00:00Z
No,0.54,Yes,161,0.93,4,low,hr,4,No,2016-05-28T00:00:00Z
No,0.97,Yes,258,0.4,4,medium,technical,4,No,2016-10-11T00:00:00Z
No,0.6,Yes,209,0.85,2,medium,technical,3,No,2018-01-31T00:00:00Z
No,0.84,Yes,187,0.75,3,medium,technical,3,No,2017-07-03T00:00:00Z
No,0.22,Yes,213,0.88,3,medium,technical,4,No,2017-01-30T00:00:00Z
No,0.61,Yes,140,0.62,3,medium,support,4,No,2017-06-22T00:00:00Z
No,0.67,Yes,173,0.5,2,high,support,4,No,2018-01-04T00:00:00Z
No,0.92,Yes,238,0.97,5,medium,support,4,No,2015-08-22T00:00:00Z
No,0.48,Yes,242,0.49,2,medium,support,4,No,2018-10-29T00:00:00Z
No,0.9,Yes,206,0.74,4,low,IT,4,No,2016-07-27T00:00:00Z
No,0.93,Yes,200,0.53,3,low,product_mng,3,No,2017-02-14T00:00:00Z
No,0.21,Yes,130,0.7,6,low,RandD,6,No,2014-12-16T00:00:00Z
No,0.88,Yes,273,0.63,3,low,RandD,3,No,2017-12-09T00:00:00Z
No,0.22,Yes,261,0.55,3,medium,sales,4,No,2017-02-25T00:00:00Z
No,0.61,Yes,156,0.51,3,medium,marketing,3,No,2017-01-20T00:00:00Z
No,0.72,Yes,147,0.58,3,medium,sales,5,No,2017-09-22T00:00:00Z
No,0.47,Yes,162,0.57,3,medium,sales,3,No,2017-03-04T00:00:00Z
No,0.5,Yes,148,0.55,3,low,hr,4,No,2017-10-25T00:00:00Z
No,0.58,Yes,196,0.77,2,low,technical,4,No,2018-04-09T00:00:00Z
No,0.94,Yes,184,0.78,3,medium,technical,3,No,2017-06-04T00:00:00Z
No,0.49,Yes,187,0.5,5,medium,support,4,No,2015-05-02T00:00:00Z
No,0.76,Yes,156,0.5,3,medium,support,3,No,2017-05-29T00:00:00Z
No,0.69,Yes,265,0.64,2,high,support,5,No,2018-04-28T00:00:00Z
No,0.4,Yes,214,0.99,6,medium,support,4,No,2014-10-20T00:00:00Z
No,0.64,Yes,207,0.69,2,low,IT,3,No,2018-07-30T00:00:00Z
No,0.9,Yes,249,0.89,3,low,IT,5,No,2017-11-03T00:00:00Z
No,0.93,Yes,256,0.97,2,low,product_mng,3,No,2018-06-13T00:00:00Z
No,0.83,Yes,141,0.89,3,low,product_mng,5,No,2017-09-18T00:00:00Z
No,0.7,Yes,155,0.63,4,low,RandD,3,No,2016-04-17T00:00:00Z
No,0.71,Yes,254,0.63,3,high,sales,3,No,2017-08-13T00:00:00Z
No,0.21,Yes,223,0.65,3,low,sales,5,No,2017-04-21T00:00:00Z
No,0.63,Yes,271,0.86,3,medium,support,4,No,2017-02-07T00:00:00Z
No,0.67,Yes,190,0.71,3,medium,support,3,No,2017-07-06T00:00:00Z
No,0.58,Yes,163,0.83,3,low,product_mng,4,No,2017-09-25T00:00:00Z
No,0.53,Yes,189,0.65,2,low,IT,2,No,2018-09-25T00:00:00Z
No,0.81,Yes,152,0.5,3,low,RandD,4,No,2017-11-13T00:00:00Z
No,0.99,Yes,119,0.72,2,low,marketing,3,No,2018-11-23T00:00:00Z
No,0.5,Yes,150,0.93,3,medium,technical,6,No,2017-06-27T00:00:00Z
No,0.63,Yes,153,0.78,3,medium,sales,3,No,2017-12-26T00:00:00Z
No,0.88,Yes,224,0.86,3,low,sales,4,No,2017-06-06T00:00:00Z
No,0.85,Yes,260,0.55,2,low,sales,4,No,2018-05-26T00:00:00Z
No,0.91,Yes,243,0.61,2,low,accounting,4,No,2018-09-08T00:00:00Z
No,0.6,Yes,219,0.97,4,low,hr,4,No,2016-08-15T00:00:00Z
No,0.81,Yes,239,0.99,2,low,technical,3,No,2018-12-24T00:00:00Z
No,0.31,Yes,165,0.49,3,low,technical,4,No,2017-12-15T00:00:00Z
No,0.64,Yes,233,0.93,2,medium,technical,4,No,2018-10-21T00:00:00Z
No,0.93,Yes,196,0.68,2,low,support,4,No,2018-05-30T00:00:00Z
No,0.67,Yes,177,0.59,3,low,IT,3,No,2017-08-10T00:00:00Z
No,0.54,Yes,229,0.94,3,low,product_mng,5,No,2017-12-08T00:00:00Z
No,0.86,Yes,256,0.62,3,low,RandD,3,No,2017-06-18T00:00:00Z
No,0.68,Yes,176,0.51,4,low,sales,4,No,2016-06-30T00:00:00Z
No,0.5,Yes,224,0.91,2,medium,management,5,No,2018-05-18T00:00:00Z
No,0.17,Yes,217,0.9,6,medium,marketing,6,No,2014-11-13T00:00:00Z
No,0.6,Yes,135,0.62,2,medium,sales,4,No,2018-09-25T00:00:00Z
No,0.49,Yes,263,0.74,3,medium,sales,2,No,2017-05-08T00:00:00Z
No,0.59,Yes,176,0.71,2,medium,sales,2,No,2018-08-29T00:00:00Z
No,0.66,Yes,192,0.48,3,low,sales,3,No,2017-10-08T00:00:00Z
No,0.98,Yes,192,0.53,2,low,sales,4,No,2018-10-05T00:00:00Z
No,0.3,Yes,276,0.86,5,low,accounting,3,No,2015-01-17T00:00:00Z
No,0.64,Yes,174,0.59,3,low,accounting,3,No,2017-12-31T00:00:00Z
No,0.65,Yes,264,0.86,2,low,hr,4,No,2018-08-06T00:00:00Z
No,0.9,Yes,107,0.47,6,low,technical,2,No,2014-08-11T00:00:00Z
No,0.64,Yes,167,0.55,3,medium,technical,4,No,2017-07-12T00:00:00Z
No,0.93,Yes,158,0.97,3,medium,technical,4,No,2017-01-03T00:00:00Z
No,0.6,Yes,227,0.87,3,medium,technical,4,No,2017-03-17T00:00:00Z
No,0.17,Yes,218,0.56,4,medium,support,5,No,2016-10-31T00:00:00Z
No,0.74,Yes,101,0.64,6,low,IT,4,No,2014-06-13T00:00:00Z
No,0.67,Yes,247,0.99,3,low,RandD,4,No,2017-08-25T00:00:00Z
No,0.78,Yes,191,0.87,3,medium,support,3,No,2017-12-09T00:00:00Z
No,0.82,Yes,217,0.55,4,medium,technical,3,No,2016-07-08T00:00:00Z
No,0.47,Yes,122,0.55,5,medium,marketing,4,No,2015-07-25T00:00:00Z
No,0.54,Yes,152,0.49,3,medium,sales,4,No,2017-11-08T00:00:00Z
No,0.69,Yes,232,0.65,2,low,sales,4,No,2018-02-15T00:00:00Z
No,0.8,Yes,248,0.99,3,medium,sales,3,No,2017-08-23T00:00:00Z
No,0.55,Yes,273,0.9,2,low,sales,4,No,2018-04-06T00:00:00Z
No,0.63,Yes,248,0.56,2,low,sales,4,No,2018-06-20T00:00:00Z
No,0.13,Yes,249,0.89,6,medium,support,4,No,2014-05-10T00:00:00Z
No,0.64,Yes,249,0.61,3,medium,support,5,No,2017-09-29T00:00:00Z
No,0.64,Yes,198,0.67,2,medium,support,5,No,2018-01-25T00:00:00Z
No,0.57,Yes,202,0.72,3,medium,support,3,No,2017-05-10T00:00:00Z
No,0.74,Yes,185,0.51,2,low,support,4,No,2018-04-17T00:00:00Z
No,0.66,Yes,237,0.85,3,medium,support,4,No,2017-07-18T00:00:00Z
No,0.83,Yes,189,0.98,4,low,management,5,No,2016-11-09T00:00:00Z
No,0.93,Yes,143,0.63,3,low,product_mng,4,No,2017-07-16T00:00:00Z
No,0.99,Yes,223,1,2,low,product_mng,4,No,2018-06-04T00:00:00Z
No,0.22,Yes,147,0.52,5,low,RandD,5,No,2015-10-11T00:00:00Z
No,0.82,Yes,252,0.99,3,low,RandD,5,No,2017-10-13T00:00:00Z
No,0.73,Yes,231,0.41,6,medium,sales,2,No,2014-06-18T00:00:00Z
No,0.75,Yes,247,0.64,3,medium,sales,4,No,2017-05-05T00:00:00Z
No,0.92,Yes,265,0.62,3,medium,sales,4,No,2017-09-26T00:00:00Z
No,0.53,Yes,207,0.92,4,low,sales,3,No,2016-11-20T00:00:00Z
No,0.69,Yes,222,0.76,3,low,sales,5,No,2017-06-26T00:00:00Z
No,0.91,Yes,144,0.89,3,low,technical,4,No,2017-09-15T00:00:00Z
No,0.58,Yes,260,0.76,2,low,technical,5,No,2018-01-14T00:00:00Z
No,0.99,Yes,193,0.56,3,medium,technical,3,No,2017-03-04T00:00:00Z
No,0.79,Yes,184,0.48,5,low,IT,4,No,2015-12-30T00:00:00Z
No,0.66,Yes,203,0.75,3,low,IT,4,No,2017-12-07T00:00:00Z
No,0.96,Yes,214,0.69,2,low,IT,3,No,2018-11-03T00:00:00Z
No,0.97,Yes,156,0.58,2,low,RandD,5,No,2018-08-29T00:00:00Z
No,0.88,Yes,260,0.67,3,low,RandD,5,No,2017-12-26T00:00:00Z
No,0.3,Yes,280,0.7,4,low,accounting,5,No,2016-10-20T00:00:00Z
No,0.99,Yes,214,0.39,5,low,sales,6,No,2015-03-29T00:00:00Z
No,0.82,Yes,139,0.84,2,low,sales,3,No,2018-06-04T00:00:00Z
No,0.29,Yes,116,0.48,6,low,hr,2,No,2015-01-02T00:00:00Z
No,0.52,Yes,210,0.67,3,low,technical,4,No,2017-10-03T00:00:00Z
No,0.65,Yes,283,0.98,2,low,technical,3,No,2018-02-03T00:00:00Z
No,0.67,Yes,159,0.7,3,medium,support,5,No,2017-01-28T00:00:00Z
No,0.14,Yes,175,0.83,6,low,IT,5,No,2014-06-15T00:00:00Z
No,0.73,Yes,196,0.86,4,low,IT,4,No,2016-04-30T00:00:00Z
No,0.58,Yes,187,0.8,3,low,product_mng,5,No,2017-03-20T00:00:00Z
No,0.72,Yes,241,0.63,4,medium,marketing,4,No,2016-01-15T00:00:00Z
No,0.66,Yes,149,0.52,4,medium,sales,3,No,2016-09-30T00:00:00Z
No,0.66,Yes,227,0.75,3,medium,sales,5,No,2017-05-28T00:00:00Z
No,0.42,Yes,188,0.89,5,low,sales,6,No,2015-01-26T00:00:00Z
No,0.95,Yes,251,0.71,2,low,hr,3,No,2018-08-30T00:00:00Z
No,0.62,Yes,153,0.89,3,low,hr,3,No,2017-08-22T00:00:00Z
No,0.98,Yes,155,0.78,3,low,technical,4,No,2017-11-17T00:00:00Z
No,0.62,Yes,216,0.79,2,low,technical,4,No,2018-04-23T00:00:00Z
No,0.41,Yes,171,0.96,5,medium,support,6,No,2015-09-27T00:00:00Z
No,0.98,Yes,134,0.8,2,medium,support,4,No,2018-04-30T00:00:00Z
No,0.34,Yes,197,0.82,5,medium,technical,6,No,2015-11-07T00:00:00Z
No,0.16,Yes,99,0.87,5,medium,IT,3,No,2015-12-28T00:00:00Z
No,0.95,Yes,146,0.49,6,low,IT,4,No,2014-10-09T00:00:00Z
No,0.71,Yes,262,0.9,2,low,product_mng,3,No,2018-03-03T00:00:00Z
No,0.82,Yes,285,0.82,2,low,IT,5,No,2018-12-16T00:00:00Z
No,0.58,Yes,145,0.77,3,low,support,4,No,2017-04-11T00:00:00Z
No,0.81,Yes,181,0.66,2,medium,sales,3,No,2018-05-19T00:00:00Z
No,0.38,Yes,128,0.81,3,low,accounting,5,No,2017-07-22T00:00:00Z
No,0.34,Yes,152,0.57,3,low,accounting,4,No,2017-02-22T00:00:00Z
No,0.74,Yes,273,0.67,3,low,hr,3,No,2017-06-30T00:00:00Z
No,0.59,Yes,221,0.56,3,low,technical,4,No,2017-09-29T00:00:00Z
No,0.49,Yes,136,0.58,4,low,technical,3,No,2016-11-21T00:00:00Z
No,0.61,Yes,243,0.71,3,low,technical,4,No,2017-05-18T00:00:00Z
No,0.24,Yes,147,0.7,6,medium,support,5,No,2014-12-03T00:00:00Z
No,0.25,Yes,257,0.83,5,medium,technical,3,No,2015-09-13T00:00:00Z
No,0.66,Yes,155,0.76,4,low,product_mng,3,No,2016-11-07T00:00:00Z
No,0.12,Yes,257,0.93,6,low,RandD,6,No,2014-03-01T00:00:00Z
No,0.35,Yes,141,0.69,2,low,support,3,No,2018-03-25T00:00:00Z
No,0.84,Yes,255,0.41,6,medium,sales,6,No,2014-04-07T00:00:00Z
No,0.87,Yes,158,0.52,2,low,sales,3,No,2018-04-08T00:00:00Z
No,0.49,Yes,267,0.98,3,medium,sales,3,No,2017-05-31T00:00:00Z
No,0.54,Yes,123,0.5,4,low,accounting,2,No,2016-05-30T00:00:00Z
No,0.81,Yes,259,0.83,3,low,technical,4,No,2017-01-11T00:00:00Z
No,0.61,Yes,112,0.83,4,low,technical,3,No,2016-06-09T00:00:00Z
No,0.59,Yes,142,0.91,3,medium,support,4,No,2017-06-23T00:00:00Z
No,0.98,Yes,250,0.95,2,high,product_mng,4,No,2018-09-26T00:00:00Z
No,0.58,Yes,175,0.9,3,low,management,4,No,2017-01-27T00:00:00Z
No,0.93,Yes,156,0.94,3,low,marketing,4,No,2017-06-07T00:00:00Z
No,0.52,Yes,251,0.96,2,low,sales,5,No,2018-03-02T00:00:00Z
No,0.65,Yes,157,0.51,3,medium,sales,4,No,2017-06-03T00:00:00Z
